Date,Site,Location,Tide,Month,T,TSS (mg/L),Salinity,DO (mg/L),NH4 (mgN/L),PO4 (mgP/L),TOC (mgC/L)
2/12/2017,Ngã Bảy,2,High tide,2,28.3,118,25.85,,0.025,0.015,3.498
10/9/2017,Ngã Bảy,2,Low tide,10,29.2,155,15.53,3.35,0.018,0.044,4.002
9/12/2018,Đồng Tranh,2,High tide,9,29.3,91,15.78,3.83,0,0.02,3.918
9/12/2018,Đồng Tranh,2,Low tide,9,28.4,99,15.22,4,0,0.02,3.694
11/11/2017,Ngã Bảy,2,Low tide,11,29.3,71,20.3,4.27,0,0.026,3.918
1/15/2017,Ngã Bảy,2,High tide,1,28.3,168,27.1,4.28,0,0.007,3.806
11/11/2018,Đồng Tranh,2,Low tide,11,29,36,,4.59,0.08,0.03,7.208
5/29/2017,Ngã Bảy,2,Low tide,5,30,153,19.1,4.68,0.043,0.071,4.044
1/15/2017,Ngã Bảy,2,Low tide,1,29.6,196,23.3,4.73,0,0.016,3.512
5/15/2018,Đồng Tranh,2,High tide,5,28,308,18.29,4.92,0.05,0.06,3.554
8/24/2017,Ngã Bảy,2,Low tide,8,29,153,17.62,4.95,0.015,0.03,3.624
